Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Processed_Summary,Processed_Text,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-2 Precision,ROUGE-2 Recall,ROUGE-2 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1
476269,B000SQLQ0Y,A31RSJTGLVV3TR,T. Wayne,5,8,1,1304812800,Made in China - With CANCER,"If you don't mind the inevitable increased cancer risk and/or poisoning from these Chinese-manufactured dog products, then these might work for you.  But if you care about your dog, you would do well to avoid ANY edible dog product made in China, period.  There should be a large warning label for Chinese pet products.  It's full of chemical additives that will slowly kill your pets.  Please google this and find out the facts.",made china cancer,nt mind inevitable increased cancer risk andor poisoning chinesemanufactured dog products might work care dog would well avoid edible dog product made china period large warning label chinese pet products s full chemical additives slowly kill pets please google find facts,0.0625,1.0,0.11764705882352941,0.02127659574468085,0.5,0.04081632653061224,0.041666666666666664,0.6666666666666666,0.0784313725490196
288473,B000ENUC3S,A2QN7FECIWB7D2,"Pm Rodgers ""pmiker""",0,1,5,1312070400,Real Cherry Flavor,"While I did not at any time imagine that I was eating a real piece of pie, the flavor of real cherries is there.  Not too many ingredients so I did not have to worry about allergies.  It caused no stomach distress during bicycle riding.",real cherry flavor,time imagine eating real piece pie flavor real cherries many ingredients worry allergies caused stomach distress bicycle riding,0.07894736842105263,1.0,0.14634146341463414,0.02702702702702703,0.5,0.05128205128205129,0.05263157894736842,0.6666666666666666,0.09756097560975609
199206,B0002NV04K,A26EXMDN188M0,Lysan,2,2,4,1299715200,A good buy...,"...money wise, in any case. They're much cheaper than in any stores in our area. The only drawback is cleaning them off and breaking off the stems. It might take a while. Otherwise, no complaints. They're delicious after soaking them for about 20 minutes in cold water. I love them in gravies and over potatoes and pasta.",good buy,money wise case re much cheaper stores area drawback cleaning breaking stems might take otherwise complaints re delicious soaking 20 minutes cold water love gravies potatoes pasta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229917,B000ZSX4GE,AM9LRYG6YXV83,"P. Verkhovensky ""uebermensch""",5,5,5,1212451200,"Unique product, well executed","The flavor of these nuts is similar to cinnamon toast cereal, yet they are filling and healthy, containing little sugar and almost no salt. I would deduct a star for being priced too high both here and in the supermarket, but Blue Diamond deserves credit for their restraint in using quality ingredients and in not producing a sugar encrusted candy. Now if they would only go against the trend of charging a huge markup for minimal extra processing cost...<br /><br />The other reviewer seems to think these contain lactose. The ingredients:<br />ALMONDS, EVAPORATED CANE JUICE, BROWN SUGAR, CORN MALTODEXTRIN, CINNAMON, NATURAL FLAVORS AND SALT. PEANUT FREE. MAY CONTAIN OTHER TREE NUTS. Unless OTHER TREE NUTS comes from cows, I don't think this is true.",unique product well executed,flavor nuts similar cinnamon toast cereal yet filling healthy containing little sugar almost salt would deduct star priced high supermarket blue diamond deserves credit restraint using quality ingredients producing sugar encrusted candy would go trend charging huge markup minimal extra processing cost reviewer seems think contain lactose ingredients almonds evaporated cane juice brown sugar corn maltodextrin cinnamon natural flavors salt peanut free may contain tree nuts unless tree nuts comes cows nt think true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271145,B000GG0BQ6,ABDDWK3DS2S5C,Amy Y. Chung,0,0,5,1308873600,Great Green Tea by Bigelow,This is a wonderful product by Bigelow.  It helps to keep your bones strong.  Our whole family drinks this daily.  Thank you Amazon.com for carrying it.,great green tea bigelow,wonderful product bigelow helps keep bones strong whole family drinks daily thank amazoncom carrying,0.11764705882352941,0.5,0.19047619047619047,0.0,0.0,0.0,0.058823529411764705,0.25,0.09523809523809523
180393,B002AQP5MK,A17DHSQXZHY7O5,"C. Hein ""C. Hein""",0,0,5,1314230400,The only good gf brownie,"This is the ONLY good gf brownie I've found in 7 years and it is wonderful! Good texture, not grainy like the others. I leave mine slightly undercooked so they're nice and gooey.<br />Just don't top with ice cream, they turn to stone!",good gf brownie,good gf brownie ve found 7 years wonderful good texture grainy like others leave mine slightly undercooked re nice gooeyjust nt top ice cream turn stone,0.0967741935483871,1.0,0.17647058823529413,0.06666666666666667,1.0,0.125,0.0967741935483871,1.0,0.17647058823529413
343516,B00004RBDZ,A27VPSSZX4R42X,Helen A. Ostrander,0,0,2,1314403200,review of fly trap,This fly trap is not worth the money.  It doesn't do the job at all.  The ones I bought else where were much better.  Don't buy them.  There are much better ones out there.,review fly trap,fly trap worth money nt job ones bought else much better nt buy much better ones,0.11764705882352941,0.6666666666666666,0.2,0.0625,0.5,0.1111111111111111,0.11764705882352941,0.6666666666666666,0.2
91069,B003OZV4Y4,A2YNIKQDLZR2WW,"Laura Steenhagen ""Laura""",0,0,5,1345248000,Great water alternative!,I have tried both the Black raspberry and the Orange/mango and loved them both. I didn't care much for the pineapple/coconut or the Strawberry one. But the Black raspberry and Orange are both a great addition if you want something other then regular water but don't want pop.,great water alternative,tried black raspberry orangemango loved nt care much pineapplecoconut strawberry one black raspberry orange great addition want something regular water nt want pop,0.04878048780487805,0.6666666666666666,0.0909090909090909,0.0,0.0,0.0,0.04878048780487805,0.6666666666666666,0.0909090909090909
526219,B001BZ9SMO,A14Q5D3QYA8FPV,Shopper,4,6,5,1248048000,"Tasty, filling, healthy!","I don't like starchy, salty, and thick soups (too much starch actually makes me hungry). This particular variety (roasted chicken and vegetable) fits the bill. It is sparse on the noodle, with only 4 g of sugar per can (I have never eaten half a can of soup, so, all values are for the entire can). While still high, the sodium for the can is 920 mg: much less then in a ""regular"" soup.  The satisfying taste belies the 140 calories and only 2 g of fat! The liquid is light, but there is lots to chew on in the bowl: many chunks of meat and firm veggies make this a meal, rather then a snack. The ring on top of the can makes it easy to open. You can tuck a can in your purse and take it along to the office for a quick lunch. So far, so good.<br /><br />The only downside is the price. Even though I ordered the soup thru the Subscribe and Save programme, I paid for the dozen more then $6 over the price in the local mass retailer. It is not worth it, even with the covenience of free shipping. I will continue to buy the soup, just not on-line. Make sure to do your price research, but eaither way do give this variety a try. I'm sure you will not be dissapointed!",tasty filling healthy,nt like starchy salty thick soups much starch actually makes hungry particular variety roasted chicken vegetable fits bill sparse noodle 4 g sugar per never eaten half soup values entire still high sodium 920 mg much less regular soup satisfying taste belies 140 calories 2 g fat liquid light lots chew bowl many chunks meat firm veggies make meal rather snack ring top makes easy open tuck purse take along office quick lunch far goodthe downside price even though ordered soup thru subscribe save programme paid dozen 6 price local mass retailer worth even covenience free shipping continue buy soup online make sure price research eaither way give variety try m sure dissapointed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196667,B008JKTTUA,AKCN7CGKFDTVC,The Storyteller,0,0,5,1349740800,Perfectly Delicious,I have been buying Kind Bars for over a year and must say each and every bar is wonderful. I use them as a snack or a breakfast and find it keeps me satisfied completely.  The Almond Walnut Macadamia bars are perfectly delicious with whole nuts in every bite...heaven on earth!,perfectly delicious,buying kind bars year must say every bar wonderful use snack breakfast find keeps satisfied completely almond walnut macadamia bars perfectly delicious whole nuts every bite heaven earth,0.06666666666666667,1.0,0.125,0.034482758620689655,1.0,0.06666666666666667,0.06666666666666667,1.0,0.125
